mysql> SELECT id, DATE_FORMAT(createdOn,'%b %d %Y %h:%i %p') AS createdOnFormat, DATE_FORMAT(modifiedOn, '%D %y %a %d %c %b %j') AS modifiedOnFormat FROM Account;
+------+----------------------+---------------------------+
| id   | createdOnFormat      | modifiedOnFormat          |
|  812 | Sep 14 2015 04:40 AM | 10th 15 Tue 10 11 Nov 314 |
|  813 | Jan 20 2016 11:27 PM | 7th 16 Thu 07 7 Jul 189   |
|  814 | Jun 25 2016 08:03 AM | 16th 14 Tue 16 12 Dec 350 |
|  815 | Sep 19 2015 06:29 AM | 18th 16 Sat 18 6 Jun 170  |
|  816 | Mar 30 2015 05:21 PM | 20th 16 Sun 20 3 Mar 080  |
|  817 | Dec 22 2014 09:39 PM | 14th 15 Wed 14 1 Jan 014  |
|  818 | Jan 02 2015 03:52 AM | 15th 15 Fri 15 5 May 135  |
|  819 | Oct 09 2015 03:49 PM | 28th 16 Tue 28 6 Jun 180  |
|  820 | Sep 24 2015 05:17 PM | 29th 15 Thu 29 1 Jan 029  |
|  821 | Jan 23 2015 03:19 PM | 20th 15 Mon 20 4 Apr 110  |
|  822 | Jul 22 2015 06:18 AM | 27th 16 Fri 27 5 May 148  |
|  966 | Aug 11 2016 10:49 PM | 9th 15 Mon 09 11 Nov 313  |
|  967 | Feb 16 2015 10:30 AM | 26th 15 Thu 26 11 Nov 330 |
|  968 | Jul 02 2016 07:39 AM | 27th 14 Sat 27 12 Dec 361 |
|  969 | Aug 02 2016 08:25 PM | 8th 15 Sun 08 2 Feb 039   |
|  970 | Feb 11 2016 12:22 PM | 4th 15 Mon 04 5 May 124   |
|  971 | Mar 16 2015 03:47 PM | 10th 15 Sun 10 5 May 130  |
|  972 | Mar 17 2015 09:43 AM | 2nd 15 Wed 02 9 Sep 245   |
|  973 | Oct 22 2014 12:13 AM | 16th 15 Sun 16 8 Aug 228  |
|  974 | Nov 17 2015 10:49 PM | 25th 14 Thu 25 12 Dec 359 |
|  975 | Aug 25 2016 06:59 PM | 18th 15 Mon 18 5 May 138  |
|  976 | Aug 26 2015 08:09 AM | 17th 15 Sat 17 1 Jan 017  |
|  977 | Feb 03 2015 09:13 AM | 27th 15 Tue 27 10 Oct 300 |
|  978 | Mar 31 2015 11:40 PM | 1st 15 Wed 01 7 Jul 182   |
|  979 | Mar 13 2015 03:58 AM | 19th 14 Wed 19 11 Nov 323 |
|  980 | Jun 21 2016 12:33 AM | 24th 16 Fri 24 6 Jun 176  |
|  981 | Aug 05 2016 06:37 PM | 1st 15 Sat 01 8 Aug 213   |
|  982 | Sep 14 2016 01:35 AM | 25th 15 Fri 25 12 Dec 359 |
|  983 | Jan 19 2015 11:04 PM | 10th 15 Mon 10 8 Aug 222  |
|  984 | Jul 23 2016 12:56 PM | 16th 15 Wed 16 9 Sep 259  |
|  985 | Sep 07 2015 06:36 AM | 18th 16 Fri 18 3 Mar 078  |
|  986 | Jan 18 2016 12:37 AM | 27th 15 Mon 27 7 Jul 208  |
|  987 | Dec 28 2015 06:26 PM | 24th 15 Sat 24 1 Jan 024  |
|  988 | Jun 04 2016 11:00 AM | 20th 16 Wed 20 7 Jul 202  |
|  989 | Aug 12 2016 01:34 AM | 17th 15 Sat 17 1 Jan 017  |
|  990 | Oct 20 2015 08:39 PM | 4th 15 Sat 04 7 Jul 185   |
|  991 | Mar 29 2015 05:03 PM | 22nd 15 Wed 22 4 Apr 112  |
|  992 | May 15 2015 04:06 AM | 28th 16 Sun 28 8 Aug 241  |
|  993 | Aug 24 2016 10:11 AM | 25th 16 Mon 25 7 Jul 207  |
|  994 | Aug 04 2015 02:44 PM | 23rd 15 Sun 23 8 Aug 235  |
|  995 | Sep 21 2014 11:49 AM | 24th 16 Sun 24 4 Apr 115  |
|  996 | Sep 10 2015 10:21 AM | 31st 16 Tue 31 5 May 152  |
|  997 | May 23 2016 07:25 AM | 10th 16 Fri 10 6 Jun 162  |
|  998 | Apr 10 2015 06:18 AM | 29th 15 Sat 29 8 Aug 241  |
|  999 | Jan 22 2016 10:14 AM | 30th 15 Mon 30 3 Mar 089  |
| 1000 | Oct 24 2014 05:14 PM | 20th 14 Thu 20 11 Nov 324 |
+------+----------------------+---------------------------+
1000 rows in set (0.00 sec)
